43472	43776	1	0	0	0	0.253	0	0
43776	45776	0	0	9.81	0	2	0	0
45776	46080	1	0	0	0	0.253	0	0
46080	46465	0	0	-9.81	0	0.385	0	0
46465	47005	0	3353.48700425539	-9.81	409.6	0.54	0.1999	2
47005	47155	0	0	-9.81	0	0.15	0	0
47155	47695	0	3353.48700425539	-9.81	409.6	0.54	0.1999	2
47695	48080	0	0	-9.81	0	0.385	0	0
48080	48384	1	0	0	0	0.253	0	0
48384	48769	0	0	9.81	0	0.385	0	0
48769	49309	0	3353.48700425539	9.81	409.6	0.54	0.1999	2
49309	49459	0	0	9.81	0	0.15	0	0
49459	49999	0	3353.48700425539	9.81	409.6	0.54	0.1999	2
49999	50384	0	0	9.81	0	0.385	0	0
